TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,Year
Akron,MAC,32,24,105,101.6,0.5953,52,48.6,17.2,16.6,29.5,25.6,33.6,29,54.8,50.7,32,30,65.7,-4.5,14,2024
Alabama,SEC,32,21,125.2,102.1,0.9126,56.3,49.9,16,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,72.5,3.4,4,2024
Arizona,P12,33,25,121.5,93.6,0.9526,55,48.7,16.1,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,72,4.9,2,2024
Auburn,SEC,34,27,120.7,92.1,0.9573,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41,54.9,42.8,35.2,29.8,69.8,5.5,4,2024
Baylor,B12,32,23,122.2,99.9,0.9103,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,65.7,5.1,3,2024
Boise St,MWC,30,22,114,97.8,0.8538,51.6,49.8,16.5,16.8,32.5,23.1,36.1,33.1,51.2,52.1,34.8,30.6,66.6,0.9,10,2024
BYU,B12,33,23,120.6,99,0.9067,55.1,48,15.2,16,32.8,24.7,25.3,32.1,58,48.2,34.8,31.8,69,2.9,6,2024
Clemson,ACC,32,21,116.7,99.3,0.8647,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34,66.2,0.9,6,2024
Colgate,Pat,33,25,102.3,101.8,0.5128,53.4,47.2,16.3,16.1,25,24.5,27.6,24.5,53.3,48.7,35.7,29.9,66.2,-4.1,14,2024
Col Charleston,CAA,33,27,113.3,105.2,0.7019,52.4,50.6,14.3,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,70,-1.6,13,2024
Colorado,P12,34,24,117.2,98,0.8866,55.3,49.3,18.1,15.2,32.4,24,35.3,28.1,53.6,50.1,39.4,31.9,67.7,1.7,10,2024
Colorado St,MWC,32,24,113.8,98.1,0.846,54.6,49.3,14.8,16.9,24.3,27.5,32.6,31.8,57.6,48.5,33.2,34,65.8,1.5,10,2024
Connecticut,BE,34,31,127.1,93.6,0.9712,57.1,45.1,14.9,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,64.6,11.3,1,2024
Creighton,BE,32,23,120.6,96.5,0.9289,57.5,46.4,15.3,11.2,25.9,24.6,24.5,16.2,60.6,45.7,36.1,32.2,66.9,4.4,3,2024
Dayton,A10,31,24,117.4,100.7,0.8547,56.6,47.9,15.8,15.7,26.9,29,37.2,21.8,53.7,48.2,40.2,31.7,64,2.6,7,2024
Drake,MVC,33,28,114.8,100.2,0.8283,54.9,51,13.9,17.4,24.2,22.1,32.6,31,55.1,51.9,36.5,33,67.8,1.7,10,2024
Duke,ACC,32,24,120.8,96.8,0.9272,55.2,49,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,66.9,3.3,4,2024
Duquesne,A10,34,24,106.3,96.1,0.7612,50.1,48,17.5,19.5,29.9,30,33.1,35.3,49.6,48.4,33.9,31.7,66.3,-1.8,11,2024
Florida,SEC,35,24,119.7,99.3,0.8951,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49,34.2,32.2,71.6,3,7,2024
FL Atlantic,Amer,33,25,117.3,103,0.817,55,49.7,15.8,16.5,33.8,29.2,34.8,27.5,56,49.3,35.6,33.6,67.9,1.2,8,2024
Gonzaga,WCC,31,25,121.3,98.6,0.9151,56.7,47.3,14,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34,69.1,2.5,5,2024
Grambling,SWAC,31,20,97.7,106,0.2805,48.2,49.1,20.5,19,28.1,32.7,39.6,33.9,47,48.4,34.1,33.7,64.9,-8,16,2024
Grand Canyon,WAC,32,29,111.1,99.8,0.7733,52,45.9,17.8,19.9,34.6,29.6,45.3,34.8,52.3,44.4,34.4,32.6,68,1.3,12,2024
Houston,B12,34,30,119.2,85.5,0.9785,49.7,44,13.7,24.7,36.9,30.2,29.9,39,48.4,43.4,34.7,30,63.3,10.6,1,2024
Howard,MEAC,32,18,104.5,112.9,0.2913,52,50.9,21.4,16.7,33.4,30.7,42.2,39.1,49.2,50.8,37.5,34,67.7,-12.1,16,2024
Illinois,B10,34,26,125.3,101.1,0.9221,53.8,48,15.1,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,69.9,6,3,2024
Iowa St,B12,34,27,113.6,86.5,0.9583,51.9,47.1,15.7,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,67.6,6.9,2,2024
James Madison,SB,33,31,112,100.4,0.778,54.4,46.7,14.7,19.8,32,27.6,34.2,35.1,54.2,48.8,36.5,28.6,69.8,1.5,12,2024
Kansas,B12,31,22,113.5,92.7,0.9111,53.4,47.6,16.4,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,68.9,4.3,4,2024
