Team,Conf,G,W,Adjoe,Adjde,Barthag,Efg_O,Efg_D,Tor,Tord,Orb,Drb,Ftr,Ftrd,2P_O,2P_D,3P_O,3P_D,Adj_T,Wab,Seed,Year,TeamID,FirstD1Season,LastD1Season,Predicted_Round,TeamRight,Champion %,Runner Up %,Final Four %,Elite 8 %,Sweet 16 %,Round 32 %,Round 64 %
Akron,16,32,24,105.0,101.6,0.5953,52.0,48.6,17.2,16.6,29.5,25.6,33.6,29.0,54.8,50.7,32.0,30.0,65.7,-4.5,14,2024,1103,1985,2024,7.0,Akron,0.002117151413633826,0.0017685221881943193,0.0028003947355681323,0.007320108091275082,0.027236962513827352,0.07599785579153902,0.882759005265962
Alabama,26,32,21,125.2,102.1,0.9126,56.3,49.9,16.0,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,72.5,3.4,4,2024,1104,1985,2024,7.0,Alabama,0.057841438276123425,0.043099942851089625,0.049478719004588056,0.14997890352967744,0.20581392717969482,0.22416982492759427,0.26961724423123257
Arizona,22,33,25,121.5,93.6,0.9526,55.0,48.7,16.1,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,72.0,4.9,2,2024,1112,1985,2024,4.0,Arizona,0.06468425764753026,0.10962606390477299,0.04915225997878659,0.246206319311702,0.22773404406599598,0.17376437625092842,0.12883267884028413
Auburn,26,34,27,120.7,92.1,0.9573,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41.0,54.9,42.8,35.2,29.8,69.8,5.5,4,2024,1120,1985,2024,5.0,Auburn,0.07415902829073817,0.047352002418063296,0.08654648661919308,0.23743401783207352,0.24701242561812414,0.20645006534728327,0.10104597387452517
Baylor,7,32,23,122.2,99.9,0.9103,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,65.7,5.1,3,2024,1124,1985,2024,5.0,Baylor,0.04913789163034236,0.01723931155781327,0.04852642547861116,0.20813120634432278,0.26386027081223196,0.21290802862931135,0.20019686554736793
Boise St,19,30,22,114.0,97.8,0.8538,51.6,49.8,16.5,16.8,32.5,23.1,36.1,33.1,51.2,52.1,34.8,30.6,66.6,0.9,10,2024,1129,1985,2024,7.0,Boise St,0.0008040201005025125,0.011584944622606496,0.013971098216094515,0.07170102250250897,0.1055215352408996,0.30588958574020814,0.49052779357717924
BYU,7,33,23,120.6,99.0,0.9067,55.1,48.0,15.2,16.0,32.8,24.7,25.3,32.1,58.0,48.2,34.8,31.8,69.0,2.9,6,2024,1140,1985,2024,6.0,BYU,0.02123040661769794,0.020134012012239494,0.03520098728382187,0.08807745794030239,0.22942259934017364,0.30760707980302715,0.29832745700273766
Clemson,1,32,21,116.7,99.3,0.8647,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34.0,66.2,0.9,6,2024,1155,1985,2024,7.0,Clemson,0.00474813327960609,0.01105562631189846,0.024982921176278976,0.11442751777259375,0.19642216656756709,0.27900765609626116,0.36935597879579496
Colgate,23,33,25,102.3,101.8,0.5128,53.4,47.2,16.3,16.1,25.0,24.5,27.6,24.5,53.3,48.7,35.7,29.9,66.2,-4.1,14,2024,1159,1985,2024,7.0,Colgate,0.001159575656058068,0.0017855744971823346,0.00914422474242115,0.008512963668068488,0.09268120547512702,0.1368681268044052,0.7498483291567377
Col Charleston,11,33,27,113.3,105.2,0.7019,52.4,50.6,14.3,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,70.0,-1.6,13,2024,1158,1992,2024,7.0,Col Charleston,0.0054116112043786895,0.004174968922025764,0.00838665484440594,0.032918922313416775,0.08694006115487858,0.25612474394674567,0.6060430376141493
